"Q12" "Q1" "Q13" "Q22" "Q24" "Q27" "Q30" "Q32" "Q34" "Q37" "Q40" "Q41" "Q43" "Q44" "V1" "P" "PJ_ONU" "PJ_CNJ" "PM" "PMJ_ONU" "PMJ_CNJ" "fvl" "Tot_DR" "até_5" "X5_a_10" "X10_a_20" "X20_" "RM_DOM" "S_RM_DOM" "perc_5" "perc5_a_10" "perc10_a_20" "perc20_" "Total_EF" "P2000" "EF_P" "Q70" "Q71" "Q73" "Q74" "Q75" "Q76" "Q77" "Q78" "Q79" "Km2" "AC_1" "AC_2" "AC_3" "AC_4" "AC_5" "AC_6" "AC_7" "AC_8" "AC_9" "AC_10" "AC_11" "AC_12" "AC_14" "AC_15" "AC_99" "AC_ResBP" "AC_nRes" "Seccional"
"12" 6 2003 "CAMBUCI" 13 19 242 4 4 23 39 279 1288 764 1803 7 31114 4926 7534 14179 2411 3658 0 8955.607 2092.893 2094.423 2423.784 2344.507 12.943 8.489 0.234 0.234 0.271 0.262 23141 28790 0.804 1037 173 263 178 227 41 25 8 94 3.93 107229 440579 51612 387849 86346 498322 305182 573634 135979 134210 39649 109757 50923 14887 59710 217862 1811620 "1 CENTRO"
"13" 7 2013 "LAPA" 5 10 283 1 17 15 11 418 1471 1393 4613 2 66417 30415 7122 12187 3639 6173 280 23001 6889 5931 5693 4488 11.273 8.566 0.3 0.258 0.248 0.195 102929 65692 1.567 1075 94 100 118 171 103 19 0 10 10.28 212351 969327 392655 1171773 1009130 1119945 586907 794995 326833 245955 102732 121128 102483 25038 169098 483932 3323533 "3 OESTE"
"14" 7 2003 "LAPA" 18 27 327 1 18 19 42 317 2108 1334 3452 8 61840 8968 13900 27994 4448 6825 65 19942.579 3356.747 4023.394 4664.424 7898.015 15.343 8.942 0.168 0.202 0.234 0.396 64132 60281 1.064 1019 295 285 324 398 35 11 0 122 10.28 225904 991149 392523 836968 367392 1029666 470352 997218 274570 225285 100315 108505 101745 30889 119257 446906 3236800 "3 OESTE"
"15" 8 2013 "BRÁS" 12 13 420 1 19 61 10 127 1057 406 2953 7 30516 15224 4465 7702 2283 3927 0 9678 5759 2732 985 202 5.653 10.897 0.595 0.282 0.102 0.021 57967 29229 1.983 1682 1016 357 1016 1061 137 163 58 37 3.61 115952 56036 3418 330561 2337 1091398 1207763 334078 267026 124800 49124 40676 80133 25829 214180 410265 3140694 "1 CENTRO"
"16" 8 2003 "BRÁS" 23 29 229 0 3 20 27 150 1067 388 1555 21 26363 4686 7349 12994 2358 3737 0 8298.245 2457.165 2576.727 1873.765 1390.588 10.646 8.678 0.296 0.311 0.226 0.168 31999 25230 1.268 840 180 211 218 234 57 9 1 57 3.61 121884 63511 4030 337624 0 1094857 1066822 392666 281166 138193 49009 22328 33380 27715 113816 269080 3072756 "1 CENTRO"
"17" 9 2013 "CARANDIRU" 9 4 403 0 25 74 22 243 1361 9 3475 7 55264 25727 7234 11884 3601 5891 94 17024 8478 4833 2703 1010 7.239 9.978 0.498 0.284 0.159 0.059 38509 54295 0.709 1095 168 159 191 194 41 0 0 12 7.24 276779 972414 49722 473243 117797 938637 237616 233183 271531 79792 117471 109376 113762 7820 75205 465746 1995426 "4 OESTE"
"18" 9 2003 "CARANDIRU" 15 23 358 1 5 33 31 327 1578 1054 2428 6 51241 8676 13164 23830 4258 6475 36 15127.763 4088.232 4244.398 3712.356 3082.777 11.555 8.53 0.27 0.281 0.245 0.204 25397 50090 0.507 993 250 385 282 334 45 5 12 138 7.24 278882 931909 46472 226801 38228 802576 314614 256855 252903 70857 70826 101768 79521 10312 58836 417239 1880711 "4 OESTE"
"19" 10 2013 "PENHA_DE_FRANÇA" 14 14 504 1 33 71 17 998 1529 1174 2465 24 265358 124433 39441 62705 19719 31082 6429 79096 48787 20091 8448 1770 5.609 10.925 0.617 0.254 0.107 0.022 41010 264419 0.155 2513 561 690 561 688 94 182 4 104 28.02 1752730 3439270 176887 1040682 48172 1743746 276728 288447 88962 95765 159107 168158 259269 10233 101316 2113315 2831146 "5 LESTE"
"20" 10 2003 "PENHA_DE_FRANÇA" 17 28 529 2 18 31 59 679 1918 1030 2091 59 263157 45997 68931 124197 22642 33734 5170 75939.892 27193.334 21545.143 16521.878 10679.538 9.802 8.897 0.358 0.284 0.218 0.141 27235 261635 0.104 1286 233 352 239 304 48 0 0 200 28.02 1665315 3155445 170168 812836 66579 1589919 301384 294598 82835 123516 156085 150662 218597 12649 74536 1958448 2711648 "5 LESTE"
"21" 11 2013 "SANTO_AMARO" 9 15 366 4 21 13 28 578 2239 955 4530 6 72784 33732 8135 13422 4166 6782 44 23829 5641 5531 5902 6755 13.135 8.502 0.237 0.232 0.248 0.283 161677 71462 2.262 1229 581 327 810 712 275 55 62 104 15.94 220302 1264631 1369824 928203 1885678 1530678 1837283 800791 75516 395974 300269 283191 45287 20747 176725 442314 5244449 "6 SANTO AMARO"
